company_name,date,open_price,close_price
Microsoft Corporation,2025-03-17,386.7000,388.7000
Microsoft Corporation,2025-03-14,379.7750,388.5600
Microsoft Corporation,2025-03-13,383.1550,378.7700
Microsoft Corporation,2025-03-12,382.9500,383.2700
Microsoft Corporation,2025-03-11,379.0000,380.4500
Microsoft Corporation,2025-03-10,385.8400,380.1600
Microsoft Corporation,2025-03-07,392.3200,393.3100
Microsoft Corporation,2025-03-06,394.2800,396.8900
Microsoft Corporation,2025-03-05,389.3400,401.0200
Microsoft Corporation,2025-03-04,383.4000,388.6100
Microsoft Corporation,2025-03-03,398.8200,388.4900
Microsoft Corporation,2025-02-28,392.6550,396.9900
Microsoft Corporation,2025-02-27,401.2650,392.5300
Microsoft Corporation,2025-02-26,398.0100,399.7300
Microsoft Corporation,2025-02-25,401.1000,397.9000
Microsoft Corporation,2025-02-24,408.5100,404.0000
Microsoft Corporation,2025-02-21,417.3350,408.2100
Microsoft Corporation,2025-02-20,415.2900,416.1300
Microsoft Corporation,2025-02-19,407.8800,414.7700
Microsoft Corporation,2025-02-18,408.0000,409.6400
Microsoft Corporation,2025-02-14,407.7900,408.4300
Microsoft Corporation,2025-02-13,407.0000,410.5400
Microsoft Corporation,2025-02-12,407.2100,409.0400
Microsoft Corporation,2025-02-11,409.6400,411.4400
Microsoft Corporation,2025-02-10,413.7100,412.2200
Microsoft Corporation,2025-02-07,416.4800,409.7500
Microsoft Corporation,2025-02-06,414.0000,415.8200
Microsoft Corporation,2025-02-05,412.3500,413.2900
Microsoft Corporation,2025-02-04,412.6850,412.3700
Microsoft Corporation,2025-02-03,411.6000,410.9200
Microsoft Corporation,2025-01-31,418.9800,415.0600
Microsoft Corporation,2025-01-30,418.7700,414.9900
Microsoft Corporation,2025-01-29,446.6900,442.3300
Microsoft Corporation,2025-01-28,434.6000,447.2000
Microsoft Corporation,2025-01-27,424.0100,434.5600
Microsoft Corporation,2025-01-24,445.1600,444.0600
Microsoft Corporation,2025-01-23,442.0000,446.7100
Microsoft Corporation,2025-01-22,437.5600,446.2000
Microsoft Corporation,2025-01-21,430.2000,428.5000
Microsoft Corporation,2025-01-17,434.0850,429.0300
Microsoft Corporation,2025-01-16,428.6950,424.5800
Microsoft Corporation,2025-01-15,419.1300,426.3100
Microsoft Corporation,2025-01-14,417.8100,415.6700
Microsoft Corporation,2025-01-13,415.2350,417.1900
Microsoft Corporation,2025-01-10,424.6300,418.9500
Microsoft Corporation,2025-01-08,423.4600,424.5600
Microsoft Corporation,2025-01-07,429.0000,422.3700
Microsoft Corporation,2025-01-06,428.0000,427.8500
Microsoft Corporation,2025-01-03,421.0800,423.3500
Microsoft Corporation,2025-01-02,425.5300,418.5800
Microsoft Corporation,2024-12-31,426.1000,421.5000
Microsoft Corporation,2024-12-30,426.0600,424.8300
Microsoft Corporation,2024-12-27,434.6000,430.5300
Microsoft Corporation,2024-12-26,439.0800,438.1100
Microsoft Corporation,2024-12-24,434.6500,439.3300
Microsoft Corporation,2024-12-23,436.7400,435.2500
Microsoft Corporation,2024-12-20,433.1100,436.6000
Microsoft Corporation,2024-12-19,441.6200,437.0300
Microsoft Corporation,2024-12-18,451.3200,437.3900
Microsoft Corporation,2024-12-17,451.0100,454.4600
Microsoft Corporation,2024-12-16,447.2700,451.5900
Microsoft Corporation,2024-12-13,448.4350,447.2700
Microsoft Corporation,2024-12-12,449.1100,449.5600
Microsoft Corporation,2024-12-11,444.0500,448.9900
Microsoft Corporation,2024-12-10,444.3900,443.3300
Microsoft Corporation,2024-12-09,442.6000,446.0200
Microsoft Corporation,2024-12-06,442.3000,443.5700
Microsoft Corporation,2024-12-05,437.9200,442.6200
Microsoft Corporation,2024-12-04,433.0300,437.4200
Microsoft Corporation,2024-12-03,429.8400,431.2000
Microsoft Corporation,2024-12-02,421.5700,430.9800
Microsoft Corporation,2024-11-29,420.0900,423.4600
Microsoft Corporation,2024-11-27,425.1050,422.9900
Microsoft Corporation,2024-11-26,419.5850,427.9900
Microsoft Corporation,2024-11-25,418.3800,418.7900
Microsoft Corporation,2024-11-22,411.3650,417.0000
Microsoft Corporation,2024-11-21,419.5000,412.8700
Microsoft Corporation,2024-11-20,416.8700,415.4900
Microsoft Corporation,2024-11-19,413.1100,417.7900
Microsoft Corporation,2024-11-18,414.8700,415.7600
Microsoft Corporation,2024-11-15,419.8200,415.0000
Microsoft Corporation,2024-11-14,425.0000,426.8900
Microsoft Corporation,2024-11-13,421.6400,425.2000
Microsoft Corporation,2024-11-12,418.2500,423.0300
Microsoft Corporation,2024-11-11,422.5150,418.0100
Microsoft Corporation,2024-11-08,425.3200,422.5400
Microsoft Corporation,2024-11-07,421.2800,425.4300
Microsoft Corporation,2024-11-06,412.4200,420.1800
Microsoft Corporation,2024-11-05,408.3700,411.4600
Microsoft Corporation,2024-11-04,409.8000,408.4600
Microsoft Corporation,2024-11-01,409.0100,410.3700
Microsoft Corporation,2024-10-31,415.3600,406.3500
Microsoft Corporation,2024-10-30,437.4350,432.5300
Microsoft Corporation,2024-10-29,428.0000,431.9500
Microsoft Corporation,2024-10-28,431.6550,426.5900
Microsoft Corporation,2024-10-25,426.7600,428.1500
Microsoft Corporation,2024-10-24,425.3250,424.7300
Microsoft Corporation,2024-10-23,430.8550,424.6000
Microsoft Corporation,2024-10-22,418.4900,427.5100
Microsoft Corporation,2024-10-21,416.1200,418.7800
Microsoft Corporation,2024-10-18,417.1400,418.1600
Microsoft Corporation,2024-10-17,422.3600,416.7200
Microsoft Corporation,2024-10-16,415.1700,416.1200
Microsoft Corporation,2024-10-15,422.1800,418.7400
Microsoft Corporation,2024-10-14,417.7700,419.1400
Microsoft Corporation,2024-10-11,416.1350,416.3200
Microsoft Corporation,2024-10-10,415.2250,415.8400
Microsoft Corporation,2024-10-09,415.8600,417.4600
Microsoft Corporation,2024-10-08,410.9000,414.7100
Microsoft Corporation,2024-10-07,416.0000,409.5400
Microsoft Corporation,2024-10-04,418.2400,416.0600
Microsoft Corporation,2024-10-03,417.6300,416.5400
Microsoft Corporation,2024-10-02,422.5800,417.1300
Microsoft Corporation,2024-10-01,428.4500,420.6900
Microsoft Corporation,2024-09-30,428.2100,430.3000
Microsoft Corporation,2024-09-27,431.5200,428.0200
Microsoft Corporation,2024-09-26,435.0850,431.3100
Microsoft Corporation,2024-09-25,429.8300,432.1100
Microsoft Corporation,2024-09-24,433.0000,429.1700
